First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Nicole,Male,04/17/2023,23:56 PM,156863,14.345,True,Business Development
Betty,Male,07/31/2020,18:25 PM,79808,6.139,True,Business Development
Charles,Female,12/15/2010,14:42 PM,48881,3.753,False,Client Services
Jeffrey,Female,09/22/2020,17:22 AM,143488,15.058,True,Business Development
Mark,Other,02/16/2019,10:06 AM,110031,16.5,True,Finance
Amy,Female,04/16/2018,08:19 PM,141303,18.968,True,Product
Ruth,Other,02/03/2011,18:53 PM,51133,19.469,False,Client Services
Justin,Other,11/15/2017,02:12 PM,98469,5.746,True,Human Resources
Helen,Other,07/13/2015,15:05 PM,92244,17.217,True,Human Resources
Rebecca,Male,03/09/2015,18:59 AM,147079,7.342,False,Distribution
Ashley,Female,08/16/2014,00:03 AM,146070,9.398,False,Business Development
Charles,Female,01/10/2023,18:57 PM,143065,6.46,False,Human Resources
Samuel,Female,10/25/2021,00:20 PM,105582,14.457,True,Sales
Kathleen,Other,12/20/2021,01:04 AM,54083,15.951,True,Marketing
Mark,Male,10/31/2020,03:56 AM,89761,14.393,True,Engineering
Barbara,Other,05/24/2020,14:39 AM,95836,17.969,True,Marketing
Melissa,Other,08/30/2012,02:02 PM,49789,19.215,True,Business Development
Brian,Other,05/13/2011,09:34 AM,72465,9.388,False,Human Resources
Jessica,Male,12/10/2022,06:51 AM,155449,17.318,True,Engineering
Carol,Male,10/24/2013,08:33 AM,129017,7.538,True,Business Development
Ryan,Male,08/31/2012,10:27 PM,88773,17.596,True,Distribution
Thomas,Female,10/20/2022,13:41 AM,124911,16.42,False,Finance
Jessica,Female,07/04/2012,19:52 AM,112430,7.021,True,Business Development
Anthony,Other,11/28/2013,04:20 PM,91356,7.757,True,Client Services
Patrick,Female,04/13/2010,02:15 PM,152196,13.24,False,Sales
Shirley,Other,01/21/2021,17:17 AM,124937,1.09,False,Sales
Kevin,Other,03/05/2017,18:45 AM,53398,12.458,True,Distribution
Melissa,Male,11/09/2022,10:27 AM,110295,12.712,False,Client Services
Paul,Male,12/04/2012,11:55 AM,74830,9.883,True,Client Services
Patrick,Female,03/04/2020,18:20 PM,74556,12.856,False,Business Development
Betty,Male,06/24/2016,12:04 AM,61530,1.827,True,Client Services
Linda,Female,08/09/2014,12:33 AM,158030,1.618,False,Finance
Michael,Male,02/11/2022,20:41 PM,81865,13.201,False,Human Resources
Debra,Male,05/15/2012,08:20 PM,62059,8.351,True,Legal
Maria,Other,10/14/2010,23:25 PM,119196,17.032,True,Business Development
Emma,Female,02/02/2010,08:58 PM,118187,7.956,False,Business Development
Margaret,Female,03/03/2010,03:11 PM,68111,6.799,False,Client Services
