Name,Team,Position,Height,Weight,College,Salary
Anthony Wilson,Warriors,TE,6'3",260 lbs,Alabama,8218446
Andrew Martin,Bears,DE,6'1",232 lbs,Florida,9629590
Charles Gonzalez,Eagles,WR,6'3",208 lbs,Alabama,16871494
Charles Garcia,Eagles,S,5'9",194 lbs,Alabama,13446733
Paul Rodriguez,Titans,OT,6'8",304 lbs,LSU,21152219
John Lopez,Warriors,RB,5'10",193 lbs,Notre Dame,13048426
Paul Wilson,Lions,CB,6'0",205 lbs,LSU,14426995
James Johnson,Warriors,WR,6'2",211 lbs,Clemson,24808758
David Gonzalez,Eagles,LB,6'6",231 lbs,Alabama,21994133
Joshua Jackson,Lions,OT,6'7",300 lbs,Florida,21978035
Anthony Moore,Panthers,OT,6'6",302 lbs,Michigan,18642956
Donald Anderson,Bears,DT,6'6",332 lbs,LSU,2594826
Matthew Davis,Eagles,OG,6'5",340 lbs,Clemson,18500421
Richard Lopez,Eagles,P,6'2",195 lbs,Notre Dame,17753711
David Smith,Eagles,OT,6'2",317 lbs,Florida,11961237
Anthony Martinez,Titans,CB,6'2",189 lbs,Michigan,15051329
James Johnson,Eagles,C,6'8",320 lbs,Texas,11276517
Christopher Miller,Spartans,WR,5'9",199 lbs,Texas,19286644
Donald Martin,Vikings,CB,5'10",212 lbs,LSU,17737668
Thomas Gonzalez,Spartans,DT,6'5",313 lbs,Notre Dame,24446331
Christopher Moore,Warriors,WR,6'2",195 lbs,LSU,13361081
Michael Johnson,Titans,K,5'11",191 lbs,Ohio State,24041683
James Thomas,Lions,CB,5'9",190 lbs,Florida,2200646
Daniel Garcia,Eagles,RB,6'2",185 lbs,Alabama,10064529
David Jackson,Titans,CB,5'10",187 lbs,Alabama,8471275
Donald Miller,Warriors,OG,6'3",309 lbs,Ohio State,2607093
Mark Hernandez,Lions,RB,5'9",190 lbs,Texas,24550199
David Thomas,Eagles,C,6'2",306 lbs,LSU,5326049
Daniel Brown,Titans,C,6'5",322 lbs,Clemson,2322276
James Garcia,Eagles,DE,6'2",250 lbs,Georgia,10544794
Matthew Smith,Eagles,K,5'10",189 lbs,Clemson,17871257
Richard Miller,Bears,DE,6'4",256 lbs,USC,7224082
Michael Brown,Vikings,S,6'2",200 lbs,Notre Dame,4702625
Joshua Taylor,Titans,LB,6'6",258 lbs,Ohio State,19399132
James Miller,Panthers,WR,6'0",197 lbs,Texas,9537901
Charles Johnson,Spartans,WR,5'11",193 lbs,Notre Dame,22280642
Richard Martin,Panthers,LB,6'4",242 lbs,Notre Dame,24717773
William Martinez,Spartans,QB,6'3",242 lbs,Notre Dame,15555834
Steven Anderson,Lions,CB,5'10",209 lbs,Notre Dame,21170064
Robert Martinez,Titans,OT,6'6",325 lbs,Clemson,22632696
Christopher Brown,Panthers,K,6'3",188 lbs,Florida,21651790
Christopher Anderson,Warriors,WR,5'10",213 lbs,Ohio State,23579658
Joshua Lopez,Spartans,K,5'10",187 lbs,Florida,20313981
John Miller,Vikings,LB,6'1",258 lbs,Ohio State,2651860
Donald Taylor,Vikings,OT,6'2",306 lbs,Notre Dame,17376328
